question_text,correct_option
"#include &lt; stdio.h &gt;int foo(int S[],int size){if(size == 0) return 0;if(size == 1) return 1;if(S[0] != S[1]) return 1+foo(S+1,size-1);return foo(S+1,size-1);}int main(){int A[]={0,1,2,2,2,0,0,1,1};printf(&quot;%d&quot;,foo(A,9));return 0;}The value printed by the given C program is ________a. 4b. 5c. 6d. 7Consider the following C programvoid f(int, short);void main(){int i = 100;short s = 12;short *p = &amp;s;__________ ; // call to f()}Which one of the following expressions, when placed in the blank above, will NOT result in a type checking error?f(s,*s)i = f(i,s)f(i,*s)f(i,*p)",a
"The output of the following C program is                                                     #include&lt; stdio.h &gt;struct Ournode{char x,y,z;};int main(){struct Ournode p = {‘1’, ‘0’, ‘a’+2};struct Ournode *q = &amp;p;printf (“%c, %c”, *((char*)q+1), *((char*)q+2));return 0;}0, c0, a+2‘0’, ‘a+2’‘0’,’c’",d
"The output of the following C program is#include &lt; stdio.h &gt;void mystery(int *ptra, int *ptrb) {int *temp;temp = ptrb;ptrb = ptra;ptra = temp;}int main() {int a=2016, b=0, c=4, d=42;mystery(&amp;a, &amp;b);if (a &lt; c)mystery(&amp;c, &amp;a);mystery(&amp;a, &amp;d);printf(“%d\n”, a);}2016201801616",a
"The output of the following C program is#include &lt; stdio.h &gt;int main () {int arr [] = {1,2,3,4,5,6,7,8,9,0,1,2,5}, *ip = arr+4;printf (“%d\n”, ip[1]);return 0;}65660",a
The most appropriate matching for the following pairsX: m=malloc(5); m= NULL;Y: free(n); n-&gt;value = 5;Z: char *p; *p=’a’;1: using dangling2: using uninitialized pointers3. lost memoryis:X-1 Y-3 Z-2X-2 Y-1 Z-3X-3 Y-2 Z-1X-3 Y-1 Z-2,a
"What is the output of the following C program?#include &lt; stdio.h &gt;int main() {double a[2]={20.0, 25.0}, *p, *q;p = a;q = p + 1;printf(&quot;%d,%d&quot;, (int)(q - p), (int)(*q - *p));return 0;}a. 4,8b. 1,5c. 8,5d. 1,8Assume the following C variable declarationint * A[10], B[10][10];Of the following expressionsI. A[2]II. A[2] [3]III. B[1]IV. B[2] [3]Which will not give compile-time errors if used as left-hand sides of assignment statements in a C program?I, II and IVII, III and IVII and IVIV only",d
"In the C languagea) At most one activation record exists between the current activation record and the activation record for the mainb) The number of activation records between the current activation record and the activation record for the main depends on the actual function calling sequence.c) The visibility of global variables depends on the actual function calling sequence.d) Recursion requires the activation record for the recursive function to be saved on a different stack before the recursive function can be called.There is no such restriction in C languageTrueFalse. In C, variables are statically scoped, not dynamicallyFalse. The activation records are stored on the same stack",a
"Consider the following C program:#include &lt;stdio.h&gt;int jumble(int x, int y){x=2*x+y;unionreturn x;}int main(){ int x=2, y=5;y=jumble(y,x);x=jumble(y,x);printf(“%d \n”, x);return 0;}The value printed by the program is _____2625200",b
"Consider the following C program: #include &lt;stdio.h&gt; int main(){  int arr[]={1,2,3,4,5,6,7,8,9,0,1,2,5}, *ip=arr+4; printf(“%d\n”, ip[1]); return 0; } The number that will be displayed on execution of the program is _______6780",a
"Consider the following C function. void convert(int n){ if(n&lt;0)     printf(“%d”,n);else {         convert(n/2);         printf(“%d”,n%2);}} Which one of the following will happen when the function convert is called with any positive integer n as an argument?It will print the binary representation of n and terminateIt will print the binary representation of n in the reverse order and terminateIt will print the binary representation of n but will not terminateIt will not print anything and will not terminate",a
"Consider the following C program:#include &lt;stdio.h&gt;int r(){static int num=7;return num–;}int main(){for (r();r();r())printf(“%d”,r());return 0;}Which one of the following values will be displayed on execution of the programs?415263630",d
"Consider the following C program:#include &lt;stdio.h&gt; int main(){float sum = 0.0, j = 1.0, i = 2.0; while (i/j &gt; 0.0625){j = j + j;sum = sum + i/j;printf(“%f\n”, sum);}return 0;}The number of times the variable sum will be printed, when the above program is executed, is _________051None of the above",b
"Consider the following C program:#include &lt;stdio.h&gt;int main(){int a[ ] = {2, 4, 6, 8, 10};int i, sum = 0, *b = a + 4;for (i = 0; i &lt; 5; i++)sum = sum + (*b – i) – *(b – i);printf (“%d\n”, sum);return 0;}The output of the above C program is ______10121520",b
"Consider the following C program: #include&lt;stdio.h&gt; void fun1(char *s1, char *s2){     char *tmp;     tmp = s1;     s1 = s2;     s2 = tmp;}void fun2(char **s1, char **s2){     char *tmp;     tmp = *s1;     *s1 = *s2;     *s2 = tmp;}int main(){    char *str1 = “Hi”, *str2 = “Bye”;    fun1(str1, str2); printf(“%s %s “, str1, str2);    fun2(&amp;str1, &amp;str2); printf(“%s %s”, str1, str2);    return 0;}The output of the program above isHi Bye Bye HiHi Bye Hi ByeBye Hi Hi ByeBye Hi Bye Hi",a
"Consider the following C code. Assume that unsigned long int type length is 64 bits. unsigned long int fun(unsigned long int n){    unsigned long int i, j = 0, sum = 0;    for (i = n; i &gt; 1; i = i/2) j++;    for ( ; j &gt; 1; j = j/2) sum++;    return(sum);} The value returned when we call fun with the input 240 is45640",a
"Consider the following C program#include &lt;stdio.h&gt;#include &lt;string.h&gt; void printlength (char *s, char *t) {   unsigned int c=0;   int len = ((strlen(s) – strlen(t)) &gt; c) ? strlen(s): strlen(t);   printf(“%d\n”,len);} void main () {   char *x = “abc”,   char *y = “defgh”;   printlength (x,y);}Recall that strlen is defined in string. h as returning a value of type size_t, which is an unsigned int. The output of the program is _____3579",a
"The output of executing the following C program is ____________ . #include &lt;stdio.h&gt; int total (int v) {   static int count = 0;   while(v) {      count += v&amp;1;      v &gt;&gt;= 1;   }   return count ;} void main () {    static int x = 0;    int i =5;    for (; i&gt;0;i–) {        x=x+total(i);    }    printf(“%d\n”,x);}23252729",a
"Consider the following function implemented in C:void printxy(int x, int y) {    int *ptr;    x=0;    ptr=&amp;x;    y=*ptr;    *ptr=1;    printf(“%d, %d”, x, y);}The output of invoking printxy(1,1) is0, 00, 11, 01, 1",a
"Consider the C program fragment below which is meant to divide x by y using repeated subtraction. The variables x, y, q and r are all unsigned int.while (r &gt;=y) {  r = r – y;  q = q + 1;}Which of the  following condition on the variables x, y, q and r before the execution of the fragment will ensure that the loop terminates in a state satisfying the condition x == (y*q + r)?(q == r)  &amp;&amp; (r == 0)(x &gt; 0) &amp;&amp; (r == x) &amp;&amp; (y &gt; 0)(q == 0) &amp;&amp; (r == x) &amp;&amp; (y &gt; 0)(q == 0) &amp;&amp; (y &gt; 0)",c
"Consider the following snippet of a C program. Assume that swap(&amp;x, &amp;y) exchanges the contents of x and y. int main () {      int array[] = {3,5,1,4,6,2};      int done = 0;      int i;       while  (done == 0) {             done = 1;             for (i = 0, i&lt;=4; i++) {                   if (array[i]&lt; array[i+1]) {                        swap (&amp;array[i], &amp;array[i+1]);                        done = 0;                   }                }             for (i=5; i&gt;=1; i–) {                  if (array[i] &gt; array [i-1]) {                       swap(&amp;array[i], &amp;array[i-1]);                       done = 0;                  }             }             printf(“%d”, array[3]);}The output of the program is ______3456",c
"Consider the following C program. #include&lt;stdio.h&gt;int main () {          int m = 10;          int n, nl;          n = ++m;          n1 = m++;          n–;          –n1;          n-= n1;          printf (“%d”,n),          return 0;}The output of the program is _________015None of the above",a
"What will be the output of the following C program? void count(int n){  static int d=1;      printf(“%d “, n);      printf(“%d “, d);      d++;      if(n&gt;1) count(n-1);      printf(“%d “, d);   }    void main(){       count(3);   }3 1 2 2 1 3 4 4 43 1 2 1 1 1 2 2 23 1 2 2 1 3 4 3 1 2 1 1 1 2",a
,a
